date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:25	36649/36649	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-8f29%22	https://themewagon.github.io/Industrio/index.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/index.html	(from )
04:08:25	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264417b9f-239b%22	https://themewagon.github.io/robots.txt		(from )
04:08:26	10534/10534	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22639aff7d-2926%22	https://themewagon.github.io/Industrio/img/favicon.ico	O:/VS%20CODE/neww/themewagon.github.io/Industrio/img/favicon.ico	(from https://themewagon.github.io/Industrio/index.html)
04:08:27	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	O:/VS%20CODE/neww/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:27	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	O:/VS%20CODE/neww/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:27	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22639aff7d-4239%22	https://themewagon.github.io/Industrio/lib/animate/animate.min.css	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/animate/animate.min.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:28	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639aff7d-b78%22	https://themewagon.github.io/Industrio/lib/owlcarousel/assets/owl.carousel.min.css	O:/VS%20CODE/neww/themewagon.github.io/Industrio/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:28	164063/164063	---M-Z	200	added ('OK')	text/css	etag:W/%22639aff7d-280df%22	https://themewagon.github.io/Industrio/css/bootstrap.min.css	O:/VS%20CODE/neww/themewagon.github.io/Industrio/css/bootstrap.min.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:28	12724/12724	---M-Z	200	added ('OK')	text/css	etag:W/%22639aff7d-31b4%22	https://themewagon.github.io/Industrio/css/style.css	O:/VS%20CODE/neww/themewagon.github.io/Industrio/css/style.css	(from https://themewagon.github.io/Industrio/index.html)
04:08:29	21235/21235	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-52f3%22	https://themewagon.github.io/Industrio/about.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/about.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:29	20479/20479	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-4fff%22	https://themewagon.github.io/Industrio/service.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/service.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:29	11879/11879	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-2e67%22	https://themewagon.github.io/Industrio/project.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/project.html	(from https://themewagon.github.io/Industrio/index.html)
04:08:30	14454/14454	---M-Z	200	added ('OK')	text/html	etag:W/%22639aff7d-3876%22	https://themewagon.github.io/Industrio/feature.html	O:/VS%20CODE/neww/themewagon.github.io/Industrio/feature.html	(from https://themewagon.github.io/Industrio/index.html)
